"","X.1","X","respondent_id","gender","age","height","children_under_18","household_income","education","location","frequency","recline_frequency","recline_obligation","recline_rude","recline_eliminate","switch_seats_friends","switch_seats_family","wake_up_bathroom","wake_up_walk","baby","unruly_child","two_arm_rests","middle_arm_rest","shade","unsold_seat","talk_stranger","get_up","electronics","smoked","NAcount","nrecline_rude","nage","agen","ngender","nrecline_frequency","frequentfliers"
"652",652,652,3432468599,"Female","18-29",NA,NA,"$0 - $24,999","High school degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,0,NA,0
"653",653,653,3432463153,"Female","18-29","5'5""",FALSE,"$50,000 - $99,999","Bachelor degree","South Atlantic","Once a month or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The person in aisle","Everyone in the row should have some say","No","No","Twice",TRUE,FALSE,0,1,NA,1,0,3,0
"654",654,654,3432463048,"Male","45-60","6'2""",FALSE,"$50,000 - $99,999","High school degree","East North Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","No","Somewhat","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","Somewhat","Three times",FALSE,FALSE,0,2,NA,3,1,1,0
"655",655,655,3432462633,"Female","> 60","5'3""",FALSE,NA,"Some college or Associate degree","West South Central","Once a month or less","About half the time",FALSE,"No",FALSE,"Somewhat","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",TRUE,FALSE,1,1,NA,4,0,2,0
"656",656,656,3432460247,"Male","45-60","5'7""",TRUE,"$50,000 - $99,999","Bachelor degree","East North Central","Once a year or less","About half the time",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Three times",FALSE,FALSE,0,1,NA,3,1,2,0
"657",657,657,3432455422,"Female","> 60","5'4""",FALSE,NA,"Bachelor degree","West North Central","Once a year or less","Once in a while",FALSE,"No",FALSE,"Somewhat","Somewhat","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Twice",FALSE,FALSE,1,1,NA,4,0,1,0
"658",658,658,3432454450,"Female","45-60","5'6""",FALSE,"$50,000 - $99,999","Some college or Associate degree","Pacific","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,0,1,NA,3,0,2,0
"659",659,659,3432450277,"Female","45-60","5'6""",FALSE,"$50,000 - $99,999","Some college or Associate degree","East North Central","Once a year or less","Never",TRUE,"No",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,0,0,0
"660",660,660,3432448472,"Male","45-60","5'9""",FALSE,"$25,000 - $49,999","Some college or Associate degree","Mountain","Once a month or less","Once in a while",TRUE,"No",FALSE,"No","No","No","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","More than five times times",FALSE,FALSE,0,1,NA,3,1,1,0
"661",661,661,3432446775,"Male","18-29","5'9""",NA,"$25,000 - $49,999","Less than high school degree","West South Central","Every day","Once in a while",TRUE,"Very",TRUE,"Somewhat","Somewhat","Somewhat","No","Somewhat","Somewhat","The people in the aisle and window seats get both arm rests","The person in aisle","Everyone in the row should have some say","Somewhat","Somewhat","Three times",FALSE,FALSE,1,3,NA,1,1,1,1
"662",662,662,3432444554,"Male","18-29","6'3""",FALSE,NA,"High school degree","South Atlantic","Once a year or less","About half the time",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The person in the middle seat gets both arm rests","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,1,1,NA,1,1,2,0
"663",663,663,3432444119,"Male","> 60","5'10""",FALSE,"$25,000 - $49,999","High school degree","West South Central","Once a year or less","Never",FALSE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,2,NA,4,1,0,0
"664",664,664,3432443969,"Male","18-29","5'10""",FALSE,"$50,000 - $99,999","Bachelor degree","Pacific","Once a month or less","Usually",FALSE,"No",FALSE,"No","No","No","No","Somewhat","Somewhat","The person in the middle seat gets both arm rests","The person in aisle","The person in the window seat should have exclusive control","No","No","Four times",TRUE,FALSE,0,1,NA,1,1,3,0
"665",665,665,3432443875,"Female","45-60","5'1""",TRUE,"$50,000 - $99,999","Some college or Associate degree","Pacific","Once a year or less","Always",FALSE,"Somewhat",TRUE,"No","No","Very","Very","No","Somewhat","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","Somewhat","No","Once",FALSE,FALSE,0,2,NA,3,0,4,0
"666",666,666,3432441808,"Male","45-60","5'11""",TRUE,NA,"Graduate degree","South Atlantic","Once a month or less","Never",TRUE,"Very",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Twice",FALSE,FALSE,1,3,NA,3,1,0,0
"667",667,667,3432441362,"Male","45-60","5'6""",FALSE,NA,"Some college or Associate degree","Mountain","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","No","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,1,2,NA,3,1,1,0
"668",668,668,3432440815,"Male","45-60",NA,NA,NA,"Graduate degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,1,NA,0
"669",669,669,3432438427,"Female","45-60",NA,NA,NA,"High school degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,0,NA,0
"670",670,670,3432436500,"Female","45-60","5'7""",TRUE,"$25,000 - $49,999","Some college or Associate degree","South Atlantic","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,0,2,0
"671",671,671,3432436102,"Male","30-44","5'8""",FALSE,"$25,000 - $49,999","Bachelor degree","New England","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,2,1,4,0
"672",672,672,3432434565,"Male","> 60","6'0""",FALSE,"$25,000 - $49,999","Bachelor degree","South Atlantic","Once a year or less","Once in a while",FALSE,"No",TRUE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,1,0
"673",673,673,3432434015,"Male","> 60","5'9""",TRUE,NA,"Graduate degree","Mountain","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,1,NA,4,1,1,0
"674",674,674,3432433897,"Male","18-29","5'10""",TRUE,"$25,000 - $49,999","Bachelor degree","East North Central","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Very","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,2,NA,1,1,0,0
"675",675,675,3432433704,"Male","45-60","5'9""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","No","Very","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,1,NA,3,1,1,0
"676",676,676,3432428730,"Male","18-29","5'6""",FALSE,NA,"Less than high school degree","Pacific","Once a year or less","About half the time",TRUE,"Somewhat",FALSE,"Somewhat","No","Somewhat","Very","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,2,NA,1,1,2,0
"677",677,677,3432428536,"Female","18-29","5'6""",FALSE,NA,"High school degree","Middle Atlantic","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","Somewhat","No","Twice",FALSE,FALSE,1,2,NA,1,0,1,0
"678",678,678,3432426212,"Female","18-29","5'8""",FALSE,"$50,000 - $99,999","Bachelor degree","Middle Atlantic","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","Somewhat","No","No","The person in the middle seat gets both arm rests","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","Somewhat","No","Twice",FALSE,FALSE,0,1,NA,1,0,3,0
"679",679,679,3432425938,"Female","30-44","5'5""",TRUE,"$50,000 - $99,999","High school degree","New England","Once a year or less","Always",FALSE,"No",FALSE,"Somewhat","Somewhat","No","No","No","Somewhat","Whoever puts their arm on the arm rest first","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",TRUE,FALSE,0,1,NA,2,0,4,0
"680",680,680,3432425094,"Female","45-60","5'6""",TRUE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Never",TRUE,"Very",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,3,NA,3,0,0,0
"681",681,681,3432424807,"Female","30-44","5'5""",TRUE,"$50,000 - $99,999","Bachelor degree","West South Central","Once a year or less","Never",TRUE,"Somewhat",FALSE,"Somewhat","Somewhat","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,2,NA,2,0,0,0
"682",682,682,3432420200,"Male","45-60","5'8""",FALSE,"$50,000 - $99,999","Bachelor degree","New England","Once a year or less","Usually",TRUE,"No",FALSE,"Somewhat","No","No","No","Somewhat","Somewhat","The person in the middle seat gets both arm rests","The person in aisle","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,0,1,NA,3,1,3,0
"683",683,683,3432419815,"Female","30-44","5'5""",TRUE,"$100,000 - $149,999","Bachelor degree","East South Central","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The person in aisle","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,0,1,NA,2,0,2,0
"684",684,684,3432419670,"Female","18-29","5'5""",FALSE,"$100,000 - $149,999","Bachelor degree","New England","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","Somewhat","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Three times",FALSE,FALSE,0,1,NA,1,0,3,0
"685",685,685,3432419184,"Male","18-29",NA,NA,"$25,000 - $49,999","Some college or Associate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"686",686,686,3432418650,"Female","> 60","5'8""",FALSE,NA,"Bachelor degree","West South Central","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","More than five times times",FALSE,FALSE,1,1,NA,4,0,3,0
"687",687,687,3432418495,"Male","30-44","5'9""",FALSE,NA,"Bachelor degree","East North Central","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,1,NA,2,1,1,0
"688",688,688,3432417788,"Male","> 60","6'0""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Never",TRUE,"Somewhat",FALSE,"No","No","No","Somewhat","No","No","The person in the middle seat gets both arm rests","The person by the window","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,2,NA,4,1,0,0
"689",689,689,3432414918,"Female","> 60","5'4""",FALSE,"$100,000 - $149,999","Graduate degree","West North Central","Once a month or less","Usually",FALSE,"No",FALSE,"No","No","No","No","Somewhat","Very","The arm rests should be shared","The person in aisle","Everyone in the row should have some say","Very","Very","Three times",FALSE,FALSE,0,1,NA,4,0,3,0
"690",690,690,3432413860,"Female","18-29","5'5""",FALSE,"$100,000 - $149,999","Some college or Associate degree","Pacific","Once a month or less","Usually",FALSE,"No",FALSE,"Somewhat","No","Somewhat","Very","Somewhat","Very","The arm rests should be shared","The person in aisle","Everyone in the row should have some say","Somewhat","No","Three times",TRUE,FALSE,0,1,NA,1,0,3,0
"691",691,691,3432413457,"Male","30-44","5'9""",FALSE,NA,"Graduate degree","South Atlantic","Once a month or less","Usually",FALSE,"No",FALSE,"No","No","Very","Very","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Three times",TRUE,FALSE,1,1,NA,2,1,3,0
"692",692,692,3432409146,"Male","45-60","5'8""",FALSE,NA,"Graduate degree","West North Central","Once a month or less","About half the time",TRUE,"No",TRUE,"Very","Very","Very","Very","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Very","Very","Twice",FALSE,FALSE,1,1,NA,3,1,2,0
"693",693,693,3432409101,"Male","> 60","5'11""",FALSE,"$50,000 - $99,999","Some college or Associate degree","East North Central","Once a year or less","About half the time",FALSE,"No",TRUE,"No","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,1,NA,4,1,2,0
"694",694,694,3432404026,"Male","18-29","6'2""",FALSE,NA,"Some college or Associate degree","West South Central","Once a year or less","Always",FALSE,"No",FALSE,"No","No","Somewhat","Very","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,1,NA,1,1,4,0
"695",695,695,3432401832,"Female","45-60",NA,NA,NA,"Some college or Associate degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,0,NA,0
"696",696,696,3432400140,"Female","18-29","5'4""",FALSE,"$50,000 - $99,999","Graduate degree","Middle Atlantic","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,0,1,NA,1,0,3,0
